Inter-Rater Similarity (Pearson Correlation)
Sample Size (N) = 48 pairs

--- Dimension: Novelty ---
,Yuhan,cpss,cpss
Yuhan,1.0,-0.049503921521139804,0.009596303326790616
cpss,-0.049503921521139804,1.0,0.827479968851375
cpss,0.009596303326790616,0.827479968851375,1.0


--- Dimension: Resolution ---
,Yuhan,cpss,cpss
Yuhan,1.0,0.06024742714180917,-0.028335716445079203
cpss,0.06024742714180917,1.0,0.3144663855651624
cpss,-0.028335716445079203,0.3144663855651624,1.0


--- Dimension: Elaboration ---
,Yuhan,cpss,cpss
Yuhan,1.0,0.013502400907881601,-0.15941754536244845
cpss,0.013502400907881601,1.0,0.44826350678721705
cpss,-0.15941754536244845,0.44826350678721705,1.0


--- Dimension: Total ---
,Yuhan,cpss,cpss
Yuhan,1.0,0.03060315467944199,-0.051111057913327936
cpss,0.03060315467944199,1.0,0.7522247514507098
cpss,-0.051111057913327936,0.7522247514507098,1.0


